0	0
1	0
2	0
3	0
4	1
5	1
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	1
14	0
15	1
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	4
24	1
25	0
26	1
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	1
35	0
36	0
37	0
38	0
39	1
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	1
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	1
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	1
83	1
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	1
93	1
94	0
95	0
96	0
97	4
98	0
99	0
100	0
101	0
102	0
103	0
104	1
105	0
106	0
107	0
108	1
109	0
110	0
111	0
112	0
113	0
114	0
115	4
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	1
130	0
131	1
132	1
133	1
134	0
135	0
136	0
137	0
138	1
139	1
140	0
141	0
142	0
143	0
144	0
145	0
146	1
147	0
148	1
149	0
150	0
151	1
152	0
153	1
154	0
155	1
156	0
157	0
158	4
159	1
160	0
161	0
162	1
163	0
164	3
165	0
166	0
167	0
168	1
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	1
184	0
185	2
186	1
187	0
188	0
189	1
190	0
191	0
192	0
193	1
194	0
195	0
196	1
197	0
198	3
199	0
200	0
201	0
202	1
203	0
204	0
205	1
206	1
207	1
208	1
209	0
210	1
211	0
212	0
213	0
214	0
215	0
216	1
217	0
218	0
219	1
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	1
232	0
233	0
234	0
235	0
236	1
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	1
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	1
257	0
258	0
259	0
260	1
261	0
262	1
263	0
264	0
265	0
266	0
267	0
268	1
269	0
270	0
271	0
272	0
273	0
274	0
275	1
276	0
277	0
278	0
279	1
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	1
288	0
289	0
290	1
291	0
292	0
293	1
294	1
295	0
296	1
297	0
298	1
299	0
300	0
301	0
302	0
303	0
304	0
305	1
306	0
307	0
308	1
309	0
310	1
311	0
312	0
313	0
314	1
315	0
316	0
317	0
318	0
319	1
320	0
321	1
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	1
336	0
337	0
338	0
339	0
340	0
341	1
342	0
343	0
344	0
345	1
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	1
359	0
360	1
361	0
362	0
363	1
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	1
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	1
389	0
390	0
391	1
392	0
393	0
394	0
395	0
396	1
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	1
411	0
412	1
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	1
427	1
428	0
429	0
430	0
431	1
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	1
454	1
455	0
456	1
457	0
458	0
459	0
460	0
461	1
462	0
463	0
464	0
465	0
466	1
467	0
468	0
469	1
470	0
471	0
472	0
473	0
474	0
475	1
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	1
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	1
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	1
516	0
517	1
518	0
519	0
520	0
521	0
522	1
523	0
524	1
525	0
526	0
527	1
528	0
529	1
530	0
531	0
532	0
533	0
